"행정구역","2025년04월_남_총인구수","2025년04월_남_연령구간인구수","2025년04월_남_0~9세","2025년04월_남_10~19세","2025년04월_남_20~29세","2025년04월_남_30~39세","2025년04월_남_40~49세","2025년04월_남_50~59세","2025년04월_남_60~69세","2025년04월_남_70~79세","2025년04월_남_80~89세","2025년04월_남_90~99세","2025년04월_남_100세 이상","2025년04월_여_총인구수","2025년04월_여_연령구간인구수","2025년04월_여_0~9세","2025년04월_여_10~19세","2025년04월_여_20~29세","2025년04월_여_30~39세","2025년04월_여_40~49세","2025년04월_여_50~59세","2025년04월_여_60~69세","2025년04월_여_70~79세","2025년04월_여_80~89세","2025년04월_여_90~99세","2025년04월_여_100세 이상"
"대전광역시 동구 자양동(3011059000)","5,751","5,751","114","414","1,774","577","579","819","809","437","210","18","0","5,061","5,061","120","541","1,312","372","405","640","766","560","287","57","1"
"대전광역시 동구 가양1동(3011062000)","6,675","6,675","225","541","1,008","677","869","1,231","1,156","656","285","27","0","6,149","6,149","239","509","766","514","771","985","1,119","748","429","67","2"
"대전광역시 동구 가양2동(3011063000)","9,151","9,151","364","794","1,439","1,105","1,184","1,655","1,485","800","294","31","0","9,068","9,068","315","774","1,395","815","1,120","1,544","1,571","936","516","80","2"
"대전광역시 동구 용전동(3011064000)","10,176","10,176","354","677","1,886","1,631","1,447","1,753","1,416","705","284","22","1","9,553","9,553","337","664","1,860","1,147","1,266","1,523","1,387","851","455","60","3"
"대전광역시 동구 성남동(3011066500)","5,199","5,199","296","375","529","584","732","942","951","531","239","20","0","5,344","5,344","258","370","505","490","689","875","1,003","687","395","68","4"
"대전광역시 동구 홍도동(3011067000)","5,659","5,659","226","385","1,090","782","725","958","874","417","187","15","0","5,370","5,370","190","348","1,016","579","583","835","928","544","286","61","0"
"대전광역시 동구 삼성동(3011069500)","6,716","6,716","318","512","665","711","923","1,235","1,228","755","331","38","0","6,537","6,537","268","484","533","640","796","1,068","1,247","909","511","79","2"
"대전광역시 동구 대청동(3011072500)","1,108","1,108","13","41","81","77","95","200","322","182","86","11","0","1,007","1,007","15","50","55","41","60","149","255","190","154","38","0"
"대전광역시 동구 산내동(3011074000)","10,572","10,572","779","1,371","961","1,090","1,714","1,905","1,462","889","363","36","2","10,482","10,482","729","1,209","830","1,040","1,742","1,696","1,520","1,038","571","99","8"
"대전광역시 중구 (3014000000)","109,513","109,513","5,974","9,904","12,903","13,094","15,648","19,569","17,128","10,318","4,476","489","10","114,016","114,016","5,725","9,554","12,672","12,182","15,370","19,050","18,319","12,809","7,019","1,287","29"
"대전광역시 중구 은행선화동(3014053500)","9,889","9,889","872","711","1,193","1,768","1,735","1,595","1,165","605","214","30","1","9,649","9,649","844","788","1,366","1,734","1,429","1,297","1,080","693","339","76","3"
"대전광역시 중구 목동(3014055000)","8,324","8,324","832","1,354","887","999","1,564","1,447","713","346","162","20","0","9,156","9,156","845","1,429","900","1,135","1,794","1,420","834","489","253","54","3"
"대전광역시 중구 중촌동(3014056000)","6,900","6,900","499","538","685","1,076","1,002","1,207","1,013","603","250","27","0","7,306","7,306","479","490","662","961","992","1,229","1,145","849","419","78","2"
"대전광역시 중구 대흥동(3014057500)","6,235","6,235","301","499","1,026","896","889","1,008","893","486","201","35","1","6,381","6,381","238","467","1,235","828","874","853","896","609","319","61","1"
"대전광역시 중구 문창동(3014060500)","2,119","2,119","62","129","187","180","257","419","489","248","139","9","0","2,007","2,007","44","113","158","147","185","301","446","331","224","55","3"
